TITLE = "DETCHEM_PBR V2.8"
VARIABLES =
              z,          T_gas,      T_surface,              P,            Tau,              u,            rho,           mdot,           vdot,           fdot,           Meff,          Power,      overall_U,           h_fs,        k_fsCH4,         k_fsO2,         k_fsH2,        k_fsH2O,         k_fsCO,        k_fsCO2,           k_rs,           k_rf,            k_r,            h_w,           XCH4,            XO2,            XH2,           XH2O,            XCO,           XCO2
  6.187756E-002,  4.404961E+002,  4.404961E+002,  1.008612E+005,  1.007623E-002,  7.375360E+000,  8.273644E-001,  3.067687E-003,  3.707781E-003,  1.021086E-001,  3.004338E-002,  2.692709E+001,  2.154929E+002,  4.647283E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.156112E-001,  2.179138E+000,  2.294749E+000,  3.117561E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  6.426185E-002,  4.454247E+002,  4.454247E+002,  1.008399E+005,  1.039768E-002,  7.459460E+000,  8.180364E-001,  3.067687E-003,  3.750061E-003,  1.021086E-001,  3.004338E-002,  2.169179E+001,  2.169651E+002,  4.687552E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.168176E-001,  2.190047E+000,  2.306864E+000,  3.141150E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  7.096040E-002,  4.590740E+002,  4.590740E+002,  1.007786E+005,  1.128188E-002,  7.692715E+000,  7.932324E-001,  3.067687E-003,  3.867324E-003,  1.021086E-001,  3.004338E-002,  6.047035E+001,  2.210060E+002,  4.798360E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.201357E-001,  2.219973E+000,  2.340109E+000,  3.205961E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  7.405995E-002,  4.652915E+002,  4.652915E+002,  1.007497E+005,  1.168203E-002,  7.799143E+000,  7.824078E-001,  3.067687E-003,  3.920828E-003,  1.021086E-001,  3.004338E-002,  2.787055E+001,  2.228295E+002,  4.848479E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.216351E-001,  2.233474E+000,  2.355109E+000,  3.235232E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  7.660921E-002,  4.703584E+002,  4.703584E+002,  1.007255E+005,  1.200709E-002,  7.885962E+000,  7.737940E-001,  3.067687E-003,  3.964474E-003,  1.021086E-001,  3.004338E-002,  2.284435E+001,  2.243076E+002,  4.889156E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.228512E-001,  2.244420E+000,  2.367271E+000,  3.258970E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  8.416949E-002,  4.851377E+002,  4.851377E+002,  1.006524E+005,  1.295064E-002,  8.139661E+000,  7.496763E-001,  3.067687E-003,  4.092015E-003,  1.021086E-001,  3.004338E-002,  6.700811E+001,  2.285790E+002,  5.006923E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.263657E-001,  2.276070E+000,  2.402435E+000,  3.327613E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  8.897643E-002,  4.943435E+002,  4.943435E+002,  1.006047E+005,  1.353551E-002,  8.298048E+000,  7.353670E-001,  3.067687E-003,  4.171640E-003,  1.021086E-001,  3.004338E-002,  4.228280E+001,  2.312143E+002,  5.079808E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.285401E-001,  2.295589E+000,  2.424129E+000,  3.370006E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  9.204389E-002,  5.001405E+002,  5.001405E+002,  1.005738E+005,  1.390296E-002,  8.397937E+000,  7.266202E-001,  3.067687E-003,  4.221857E-003,  1.021086E-001,  3.004338E-002,  2.684655E+001,  2.328709E+002,  5.125789E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.299150E-001,  2.307808E+000,  2.437723E+000,  3.396699E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.003850E-001,  5.156013E+002,  5.156013E+002,  1.004878E+005,  1.488066E-002,  8.664946E+000,  7.042295E-001,  3.067687E-003,  4.356089E-003,  1.021086E-001,  3.004338E-002,  7.194425E+001,  2.372584E+002,  5.247894E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.335642E-001,  2.340147E+000,  2.473711E+000,  3.467465E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
  1.057196E-001,  5.252587E+002,  5.252587E+002,  1.004315E+005,  1.549044E-002,  8.832199E+000,  6.908937E-001,  3.067687E-003,  4.440172E-003,  1.021086E-001,  3.004338E-002,  4.555744E+001,  2.399756E+002,  5.323721E+002,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  1.358273E-001,  2.360173E+000,  2.496000E+000,  3.511332E+002,  4.993908E-001,  0.000000E+000,  0.000000E+000,  0.000000E+000,  0.000000E+000,  5.006092E-001
