z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
-0.02642644,0.4993908,0,0.5006092,0,0,0,917.7496,917.7496,0
-0.02572574,0.4993908,0,0.5006092,0,0,0,917.6872,917.6872,0
-0.02502504,0.4993908,0,0.5006092,0,0,0,917.6327,917.6327,0
-0.02432434,0.4993908,0,0.5006092,0,0,0,917.3312,917.3312,0
-0.02362363,0.4993908,0,0.5006092,0,0,0,917.2047,917.2047,0
-0.02292293,0.4993908,0,0.5006092,0,0,0,917.0315,917.0315,0
-0.02222223,0.4993908,0,0.5006092,0,0,0,916.7833,916.7833,0
-0.02152153,0.4993908,0,0.5006092,0,0,0,916.7302,916.7302,0
-0.02082083,0.4993908,0,0.5006092,0,0,0,916.6313,916.6313,0
-0.02012013,0.4993908,0,0.5006092,0,0,0,916.373,916.373,0
-0.01941943,0.4993908,0,0.5006092,0,0,0,916.3097,916.3097,0
-0.01871873,0.4993908,0,0.5006092,0,0,0,916.2839,916.2839,0
-0.01801803,0.4993908,0,0.5006092,0,0,0,916.164,916.164,0
-0.01731733,0.4993908,0,0.5006092,0,0,0,916.0562,916.0562,0
-0.01661663,0.4993908,0,0.5006092,0,0,0,916.0846,916.0846,0
-0.01591593,0.4993908,0,0.5006092,0,0,0,916.0199,916.0199,0
-0.01521523,0.4993908,0,0.5006092,0,0,0,915.9991,915.9991,0
-0.01451453,0.4993908,0,0.5006092,0,0,0,916.1173,916.1173,0
-0.01381383,0.4993908,0,0.5006092,0,0,0,916.1138,916.1138,0
-0.01311313,0.4993908,0,0.5006092,0,0,0,915.8447,915.8447,0
-0.01241242,0.4993908,0,0.5006092,0,0,0,915.9593,915.9593,0
-0.01171172,0.4993908,0,0.5006092,0,0,0,915.9883,915.9883,0
-0.01101102,0.4993908,0,0.5006092,0,0,0,915.6593,915.6593,0
-0.01031032,0.4993908,0,0.5006092,0,0,0,915.6843,915.6843,0
-0.009609623,0.4993908,0,0.5006092,0,0,0,915.5034,915.5034,0
-0.008908922,0.4993908,0,0.5006092,0,0,0,915.1406,915.1406,0
-0.008208221,0.4993908,0,0.5006092,0,0,0,914.9756,914.9756,0
-0.007507521,0.4993908,0,0.5006092,0,0,0,914.6707,914.6707,0
-0.00680682,0.4993908,0,0.5006092,0,0,0,914.4095,914.4095,0
-0.00610612,0.4993908,0,0.5006092,0,0,0,914.2794,914.2794,0
-0.005405419,0.4993908,0,0.5006092,0,0,0,914.1024,914.1024,0
-0.004704718,0.4993908,0,0.5006092,0,0,0,913.9203,913.9203,0
-0.004004018,0.4993908,0,0.5006092,0,0,0,913.9019,913.9019,0
-0.003303317,0.4993908,0,0.5006092,0,0,0,913.8511,913.8511,0
-0.002602617,0.4993908,0,0.5006092,0,0,0,913.8702,913.8702,0
-0.001901916,0.4993908,0,0.5006092,0,0,0,913.9313,913.9313,0
-0.001201215,0.4993908,0,0.5006092,0,0,0,913.9739,913.9739,0
-0.0005005147,0.4993908,0,0.5006092,0,0,0,914.1293,914.1293,0
0.0002001859,0.4993908,0,0.5006092,0,0,0,914.4683,914.4683,0
0.0009008865,0.4993908,0,0.5006092,0,0,0,914.829,914.829,0
0.001601587,0.4993908,0,0.5006092,0,0,0,915.0565,915.0565,0
0.002302288,0.4993908,0,0.5006092,0,0,0,915.1084,915.1084,0
