"arc_length","T"
0.289,805.919
0.2895,806.327
0.29,806.735
0.2905,807.138
0.291,807.54
0.2915,807.943
0.292,808.346
0.2925,808.748
0.293,809.146
0.2935,809.543
0.294,809.94
0.2945,810.338
0.295,810.735
0.2955,811.127
0.296,811.519
0.2965,811.911
0.297,812.304
0.2975,812.696
0.298,813.083
0.2985,813.469
0.299,813.856
0.2995,814.243
0.3,814.63
0.3005,815.012
0.301,815.394
0.3015,815.776
0.302,816.157
0.3025,816.539
0.303,816.916
0.3035,817.293
0.304,817.669
0.3045,818.046
0.305,818.423
0.3055,818.795
0.306,819.167
0.3065,819.539
0.307,819.91
0.3075,820.282
0.308,820.649
0.3085,821.016
0.309,821.383
0.3095,821.75
0.31,822.117
0.3105,822.479
0.311,822.841
0.3115,823.203
0.312,823.566
0.3125,823.928
0.313,824.285
0.3135,824.643
0.314,825
0.3145,825.358
0.315,825.715
0.3155,826.068
0.316,826.421
0.3165,826.773
0.317,827.126
0.3175,827.479
0.318,827.827
0.3185,828.175
0.319,828.523
0.3195,828.872
0.32,829.22
0.3205,829.563
0.321,829.907
0.3215,830.251
0.322,830.594
0.3225,830.938
0.323,831.277
0.3235,831.617
0.324,831.956
0.3245,832.295
0.325,832.634
0.3255,832.969
0.326,833.304
0.3265,833.639
0.327,833.974
0.3275,834.308
0.328,834.639
0.3285,834.969
0.329,835.3
0.3295,835.631
0.33,835.961
0.3305,836.287
0.331,836.614
0.3315,836.94
0.332,837.266
0.3325,837.592
0.333,837.914
0.3335,838.236
0.334,838.559
0.3345,838.881
0.335,839.203
0.3355,839.521
0.336,839.838
0.3365,840.156
0.337,840.474
0.3375,840.792
0.338,841.106
0.3385,841.42
0.339,841.734
0.3395,842.048
0.34,842.362
0.3405,842.671
0.341,842.981
0.3415,843.291
0.342,843.601
0.3425,843.911
0.343,844.217
0.3435,844.522
0.344,844.828
0.3445,845.134
0.345,845.44
0.3455,845.742
0.346,846.044
0.3465,846.346
0.347,846.648
0.3475,846.95
0.348,847.248
0.3485,847.546
0.349,847.844
0.3495,848.142
0.35,848.441
0.3505,848.735
0.351,849.029
0.3515,849.324
0.352,849.618
0.3525,849.912
0.353,850.203
0.3535,850.493
0.354,850.784
0.3545,851.075
0.355,851.365
0.3555,851.652
0.356,851.939
0.3565,852.226
0.357,852.513
0.3575,852.8
0.358,853.083
0.3585,853.366
0.359,853.65
0.3595,853.933
0.36,854.216
0.3605,854.496
0.361,854.776
0.3615,855.055
0.362,855.335
0.3625,855.615
0.363,855.891
0.3635,856.167
0.364,856.443
0.3645,856.719
0.365,856.996
0.3655,857.268
0.366,857.541
0.3665,857.814
0.367,858.086
0.3675,858.359
0.368,858.628
0.3685,858.898
0.369,859.167
0.3695,859.436
0.37,859.706
0.3705,859.971
0.371,860.237
0.3715,860.503
0.372,860.769
0.3725,861.035
0.373,861.297
0.3735,861.56
0.374,861.823
0.3745,862.085
0.375,862.348
0.3755,862.607
0.376,862.866
0.3765,863.125
0.377,863.385
0.3775,863.644
0.378,863.9
0.3785,864.156
0.379,864.412
0.3795,864.668
0.38,864.924
0.3805,865.177
0.381,865.43
0.3815,865.682
0.382,865.935
0.3825,866.188
0.383,866.438
0.3835,866.687
0.384,866.937
0.3845,867.187
0.385,867.436
0.3855,867.683
0.386,867.929
0.3865,868.176
0.387,868.422
0.3875,868.669
0.388,868.912
0.3885,869.156
0.389,869.399
0.3895,869.643
0.39,869.886
0.3905,870.127
0.391,870.367
0.3915,870.608
0.392,870.848
0.3925,871.089
0.393,871.326
0.3935,871.563
0.394,871.801
0.3945,872.038
0.395,872.276
0.3955,872.51
0.396,872.745
0.3965,872.979
0.397,873.214
0.3975,873.448
0.398,873.68
0.3985,873.912
0.399,874.143
0.3995,874.375
0.4,874.606
0.4005,874.835
0.401,875.064
0.4015,875.293
0.402,875.521
0.4025,875.75
0.403,875.976
0.4035,876.202
0.404,876.428
0.4045,876.654
0.405,876.88
0.4055,877.103
0.406,877.326
0.4065,877.549
0.407,877.772
0.4075,877.995
0.408,878.216
0.4085,878.436
0.409,878.656
0.4095,878.877
0.41,879.097
0.4105,879.315
0.411,879.533
0.4115,879.75
0.412,879.968
0.4125,880.186
0.413,880.401
0.4135,880.616
0.414,880.831
0.4145,881.045
0.415,881.26
0.4155,881.473
0.416,881.685
0.4165,881.897
0.417,882.11
0.4175,882.322
0.418,882.532
0.4185,882.742
0.419,882.951
0.4195,883.161
0.42,883.371
0.4205,883.578
0.421,883.785
0.4215,883.992
0.422,884.2
0.4225,884.407
0.423,884.611
0.4235,884.816
0.424,885.021
0.4245,885.225
0.425,885.43
0.4255,885.632
0.426,885.834
0.4265,886.036
0.427,886.238
0.4275,886.44
0.428,886.64
0.4285,886.84
0.429,887.039
0.4295,887.239
0.43,887.439
0.4305,887.636
0.431,887.833
0.4315,888.03
0.432,888.228
0.4325,888.425
0.433,888.62
0.4335,888.814
0.434,889.009
0.4345,889.204
0.435,889.399
0.4355,889.591
0.436,889.784
0.4365,889.976
0.437,890.169
0.4375,890.361
0.438,890.551
0.4385,890.741
0.439,890.931
0.4395,891.121
0.44,891.311
0.4405,891.499
0.441,891.687
0.4415,891.875
0.442,892.063
0.4425,892.25
0.443,892.436
0.4435,892.621
0.444,892.807
0.4445,892.992
0.445,893.178
0.4455,893.361
0.446,893.544
0.4465,893.728
0.447,893.911
0.4475,894.094
0.448,894.275
0.4485,894.456
0.449,894.637
0.4495,894.818
0.45,894.999
0.4505,895.178
0.451,895.357
0.4515,895.536
0.452,895.715
0.4525,895.893
0.453,896.07
0.4535,896.247
0.454,896.423
0.4545,896.6
0.455,896.777
0.4555,896.951
0.456,897.126
0.4565,897.3
0.457,897.475
0.4575,897.649
0.458,897.822
0.4585,897.994
0.459,898.167
0.4595,898.339
0.46,898.512
