Z,Temperature
-0.1383383383,921.3135814
-0.1375375375,921.2503198
-0.1367367367,921.1730833
-0.1359359359,920.9481557
-0.1351351351,920.75706
-0.1343343343,920.6295518
-0.1335335335,920.4567053
-0.1327327327,920.3124982
-0.1319319319,920.1369622
-0.1311311311,920.0862616
-0.1303303303,920.0448489
-0.1295295295,919.9970449
-0.1287287287,919.8900898
-0.1279279279,919.8213354
-0.1271271271,919.7486068
-0.1263263263,919.6717559
-0.1255255255,919.5772849
-0.1247247247,919.5051594
-0.1239239239,919.4013377
-0.1231231231,919.3031014
-0.1223223223,919.2272124
-0.1215215215,919.1321412
-0.1207207207,919.0249133
-0.1199199199,918.9266635
-0.1191191191,918.8444573
-0.1183183183,918.6979183
-0.1175175175,918.5949466
-0.1167167167,918.4791039
-0.1159159159,918.3754575
-0.1151151151,918.281575
-0.1143143143,918.1177526
-0.1135135135,917.9941105
-0.1127127127,917.8242279
-0.1119119119,917.6831664
-0.1111111111,917.5374134
-0.1103103103,917.4244402
-0.1095095095,917.28354
-0.1087087087,917.1633741
-0.1079079079,917.0838475
-0.1071071071,917.0016849
-0.1063063063,916.9398853
-0.1055055055,916.8926153
-0.1047047047,916.8111297
-0.1039039039,916.7171937
-0.1031031031,916.7495893
-0.1023023023,916.7065307
-0.1015015015,916.6272949
-0.1007007007,916.6226279
-0.0998998999,916.6238449
-0.0990990991,916.6340245
-0.0982982983,916.6118966
-0.0974974975,916.6112546
-0.0966966967,916.622083
-0.0958958959,916.6411443
-0.0950950951,916.6839338
-0.09429429429,916.7545602
-0.09349349349,916.7813039
-0.09269269269,916.8152158
-0.09189189189,916.8831346
-0.09109109109,916.9156154
-0.09029029029,916.9888014
-0.08948948949,917.0491016
-0.08868868869,917.0925763
-0.08788788789,917.1457296
-0.08708708709,917.2152722
-0.08628628629,917.2622513
-0.08548548549,917.3236242
-0.08468468468,917.3971616
-0.08388388388,917.4723833
-0.08308308308,917.5618289
-0.08228228228,917.6280083
-0.08148148148,917.6472164
-0.08068068068,917.6440974
-0.07987987988,917.6462637
-0.07907907908,917.6683556
-0.07827827828,917.6862386
-0.07747747748,917.6519128
-0.07667667668,917.5556959
-0.07587587588,917.4481559
-0.07507507508,917.3544181
-0.07427427427,917.2426779
-0.07347347347,917.1922982
-0.07267267267,917.1079466
-0.07187187187,917.0109793
-0.07107107107,916.9322157
-0.07027027027,916.8717209
-0.06946946947,916.7946828
-0.06866866867,916.7512065
-0.06786786787,916.6974183
-0.06706706707,916.6185219
-0.06626626627,916.5523643
-0.06546546547,916.4592243
-0.06466466466,916.3241926
-0.06386386386,916.2569048
-0.06306306306,916.1906439
